Model,Features,Accuracy,F1,ROC_AUC
Logistic Regression,Top Features,1.0,1.0,1.0
Logistic Regression,All Features,1.0,1.0,1.0
Random Forest,Top Features,0.7272727272727273,0.7692307692307693,0.9333333333333333
Random Forest,All Features,0.6363636363636364,0.7142857142857143,0.75
Logistic Regression,PCA 20,0.5454545454545454,0.6153846153846154,0.7166666666666668
Random Forest,PCA 20,0.5454545454545454,0.6153846153846154,0.6666666666666667
