Model,Features,ROC_AUC_mean,ROC_AUC_std,F1_mean,Accuracy_mean
LogReg,Clinical Only,0.7317154397712262,0.010959867054679358,0.5832006584761403,0.6754275452410554
LogReg,PCA 20,0.7567641271771708,0.018829366704972643,0.6043051392913292,0.6901243265644427
Random Forest,PCA 20,0.7564925145187293,0.012415226625284999,0.6101991724963944,0.7043113689736151
Random Forest,Top Features,0.7113904938571658,0.01638328344457619,0.5103640468914483,0.6712114933001796
